UserID,CustomerAge,Sex,Tenure,ServiceUsageRate,SupportCalls,BillingDelay,PlanType,AgreementDuration,TotalExpenditure,RecentActivity,Churn
1,55,Male,20,24,4,6,Standard,Monthly,635,25,0
2,28,Male,27,30,4,5,Premium,Quarterly,631,10,0
3,65,Female,60,17,7,16,Premium,Quarterly,314,1,1
4,53,Male,47,16,8,7,Premium,Annual,527,13,0
5,32,Male,56,5,7,15,Premium,Annual,236,25,0
6,60,Female,9,6,9,5,Premium,Quarterly,638,24,0
7,37,Male,1,28,6,13,Premium,Annual,875,28,0
8,21,Male,59,7,0,7,Basic,Annual,814,15,0
9,26,Male,37,23,6,25,Basic,Annual,541,29,1
10,65,Male,35,12,3,0,Premium,Monthly,476,11,0
11,34,Male,33,13,8,27,Basic,Quarterly,912,12,1
12,26,Female,55,4,5,29,Standard,Quarterly,918,28,1
13,52,Female,14,26,0,22,Basic,Annual,425,24,1
14,32,Female,37,12,9,11,Standard,Monthly,203,13,0
15,21,Female,46,25,0,20,Basic,Monthly,799,13,0
16,44,Female,28,5,7,20,Premium,Annual,601,15,1
17,45,Female,13,16,4,24,Standard,Monthly,466,25,1
18,40,Male,48,16,8,19,Premium,Annual,641,8,1
19,51,Female,14,24,9,7,Standard,Quarterly,826,5,0
20,41,Female,31,6,4,23,Premium,Quarterly,110,11,1
21,40,Male,56,25,6,17,Premium,Quarterly,588,30,1
22,57,Male,54,6,4,16,Premium,Annual,867,5,0
23,46,Male,33,4,7,22,Standard,Annual,514,3,1
24,21,Female,12,12,6,6,Premium,Monthly,940,5,0
25,26,Female,17,7,2,20,Premium,Quarterly,552,24,0
26,28,Female,15,20,8,11,Basic,Quarterly,243,3,0
27,31,Male,2,2,7,27,Premium,Annual,153,3,1
28,29,Female,10,23,6,26,Basic,Annual,411,3,1
29,56,Female,41,18,8,19,Premium,Annual,668,30,1
30,65,Male,24,28,3,29,Basic,Annual,759,2,0
31,23,Male,60,6,10,24,Basic,Monthly,272,26,1
32,63,Male,2,5,4,16,Basic,Annual,172,29,1
33,27,Male,8,30,1,19,Premium,Monthly,418,9,0
34,45,Female,25,15,10,10,Basic,Quarterly,352,23,0
35,21,Male,30,2,4,11,Standard,Monthly,873,28,0
36,34,Male,26,25,1,5,Premium,Annual,494,16,0
37,48,Female,15,19,10,27,Standard,Quarterly,318,6,1
38,55,Male,54,14,3,23,Standard,Monthly,348,10,0
39,64,Male,43,10,4,29,Standard,Quarterly,756,15,0
40,65,Male,40,19,0,16,Standard,Monthly,769,27,0
41,33,Female,5,10,5,21,Premium,Monthly,764,4,1
42,39,Female,15,4,7,25,Basic,Quarterly,433,25,1
43,39,Female,21,29,7,29,Basic,Quarterly,382,11,1
44,28,Female,43,30,7,5,Basic,Monthly,600,11,0
45,38,Female,59,5,6,28,Premium,Monthly,770,16,1
46,28,Female,28,23,2,18,Basic,Quarterly,461,10,0
47,56,Male,38,14,3,5,Premium,Quarterly,218,30,0
48,24,Female,59,26,6,22,Premium,Monthly,750,15,1
49,18,Female,17,26,7,18,Basic,Monthly,594,23,0
50,63,Male,54,20,3,12,Standard,Quarterly,949,30,0
51,45,Male,13,24,10,4,Standard,Monthly,916,4,0
52,36,Female,53,30,4,30,Standard,Quarterly,156,10,1
53,63,Female,58,20,8,29,Standard,Monthly,827,12,1
54,23,Male,59,7,8,5,Standard,Annual,754,29,0
55,60,Male,33,20,5,17,Basic,Monthly,634,19,1
56,35,Female,30,19,3,13,Standard,Annual,409,9,0
57,38,Female,42,20,8,22,Basic,Annual,703,29,1
58,39,Male,47,11,5,28,Standard,Monthly,764,13,1
